# Godzilla Pro device positions, from the game binary.
# 575 records (coil=10 led=506 switch=59), 164 on the playfield image.
# playfield image: assets/nuk/images/Test/scaled_godzilla_pro_playfield.png (313x710)
# class   name                                   x     y    w    h  grp index  conn   image
led       ETOPPER FRONT LED 18-R               631   297   30   30    3   224         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 18-G               631   309   30   30    3   226         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 18-B               631   309   30   30    3   225         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 19-R               631   309   30   30    3   227         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 19-G               596   309   30   30    3   229         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 19-B               596   309   30   30    3   228         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 20-R               596   309   30   30    3   230         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 20-G               561   309   30   30    3   232         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 20-B               561   309   30   30    3   231         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 21-R               561   309   30   30    3   233         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 21-G               526   309   30   30    3   235         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 21-B               526   309   30   30    3   234         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 22-R               526   309   30   30    3   236         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 22-G               492   309   30   30    3   238         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 22-B               492   309   30   30    3   237         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 23-R               492   309   30   30    3   239         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 23-G               457   309   30   30    3   241         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 23-B               457   309   30   30    3   240         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 24-R               457   309   30   30    3   242         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 24-G               422   309   30   30    3   244         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 24-B               422   309   30   30    3   243         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 25-R               422   309   30   30    3   245         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 25-G               387   309   30   30    3   247         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 25-B               387   309   30   30    3   246         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 26-R               387   309   30   30    3   248         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 26-G               352   309   30   30    3   250         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 26-B               352   309   30   30    3   249         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 27-R               352   309   30   30    3   251         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 27-G               317   309   30   30    3   253         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 27-B               317   309   30   30    3   252         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 28-R               317   309   30   30    3   254         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 28-G               282   309   30   30    3   256         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 28-B               282   309   30   30    3   255         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 29-R               282   309   30   30    3   257         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 29-G               247   309   30   30    3   259         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 29-B               247   309   30   30    3   258         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 30-R               247   309   30   30    3   260         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 30-G               213   309   30   30    3   262         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 30-B               213   309   30   30    3   261         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 31-R               213   309   30   30    3   263         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 31-G               178   309   30   30    3   265         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 31-B               178   309   30   30    3   264         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 32-R               178   309   30   30    3   266         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 32-G               143   309   30   30    3   268         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 32-B               143   309   30   30    3   267         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 33-R               143   309   30   30    3   269         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 33-G               108   309   30   30    3   271         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 33-B               108   309   30   30    3   270         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 34-R               108   309   30   30    3   272         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 34-G                73   309   30   30    3   274         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 34-B                73   309   30   30    3   273         System/TestMode/universal_topper_scaled
led       SHAKER MOTOR                          73   309   30   30    3   275         System/TestMode/universal_topper_scaled
coil      TROUGH                               195   581   20   20    6     0         playfield
coil      RIGHT SLINGSHOT                      260   613   20   20    6     1         playfield
coil      LEFT SLINGSHOT                       219   503   20   20    6     2         playfield
coil      AUTO PLUNGER                          79   503   20   20    6     3         playfield
coil      LEFT FLIPPER                         283   638   20   20    6     4         playfield
coil      UP LEFT FLIP                          99   581   20   20    6     5         playfield
coil      POP BUMPER                            52   315   20   20    6     6         playfield
